pubchem_id,Bladder/Urinary Tract,Bowel,Breast,CNS/Brain,Cervix,Esophagus/Stomach,Kidney,Liver,Lung,Ovary/Fallopian Tube,Pancreas,Peripheral Nervous System,Skin,Uterus
10184653,1,1,1,1,0,1,1,1,1,0,1,0,1,1
445639,0,1,0,1,0,1,1,1,1,0,1,0,1,0
11626560,1,1,1,1,0,1,1,1,1,0,0,0,1,1
168311648,1,1,1,1,0,1,1,1,1,1,0,1,1,1
135398744,1,1,0,1,0,0,1,1,1,0,1,1,0,1
1054,1,1,1,1,0,1,1,1,1,1,1,1,1,1
119607,1,1,1,1,0,1,1,1,1,1,1,0,1,1
42611257,1,1,0,1,0,0,0,0,1,1,1,0,1,0
60961,0,1,1,1,0,1,0,0,1,1,1,0,0,1
10288191,0,1,1,1,0,0,0,1,1,1,1,0,1,0
6436173,0,1,1,1,0,0,1,1,1,0,0,0,1,0
4594,0,1,1,1,0,1,0,1,1,1,1,1,1,1
12108541,0,1,1,1,0,1,0,1,1,1,1,1,1,1
16923,1,1,1,1,0,0,1,1,1,0,0,0,1,0
3100,0,1,1,1,0,1,1,1,1,1,1,1,1,1
21800,0,1,0,1,0,0,0,0,1,0,0,0,1,0
54684461,1,1,1,1,0,1,1,0,1,1,1,0,1,1
5284373,0,1,1,1,0,1,1,1,1,0,0,0,1,0
44462760,0,1,0,1,0,0,1,1,1,0,0,0,1,0
24906252,0,1,1,1,0,0,1,1,1,1,1,1,0,0
2662,1,1,1,1,1,1,1,1,1,1,1,0,1,1
5388983,1,1,1,1,1,0,1,0,1,1,0,0,1,0
107969,0,0,1,1,0,0,1,0,1,0,0,1,0,0
4740,0,1,1,1,0,0,1,1,1,1,1,0,0,1
4829,0,1,1,1,0,0,1,1,1,1,1,0,1,1
56649450,0,1,1,1,0,1,0,1,1,1,1,0,1,1
5564,0,1,1,1,0,0,1,0,1,0,0,0,1,0
3657,1,1,1,1,1,1,1,1,1,1,1,0,1,0
12560,0,1,1,1,0,1,1,1,1,0,1,0,1,1
50922675,0,1,0,1,0,0,0,1,1,0,1,0,1,0
6419992,0,1,1,1,0,0,0,0,1,0,0,1,1,0
637568,0,0,0,1,0,0,0,0,1,0,0,0,1,0
110635,1,1,1,1,0,1,1,1,1,0,1,0,1,0
468595,1,1,1,1,0,0,1,1,1,1,1,0,1,0
16222096,1,1,1,1,0,1,1,1,1,1,1,0,1,1
135400182,0,1,0,0,0,1,0,1,1,0,1,0,1,0
9887712,0,0,1,1,0,0,1,1,1,1,1,1,0,0
16760658,1,1,1,1,0,1,1,1,1,0,0,0,1,1
249332,1,1,0,1,0,0,1,1,1,1,0,0,0,0
24776445,0,1,1,1,0,1,1,1,1,1,1,0,1,0
3081361,1,1,1,1,0,1,1,1,1,1,1,0,1,0
126941,1,1,1,1,0,1,0,1,1,0,0,0,1,0
67307512,0,1,1,1,0,1,0,1,1,1,1,0,0,0
9915743,0,1,1,1,0,1,0,1,1,1,1,0,0,0
451668,1,1,1,1,0,0,1,1,1,1,1,0,1,0
6442177,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10174505,0,1,0,1,0,0,1,1,1,0,0,0,1,0
9926791,0,1,0,1,0,0,1,1,1,0,0,0,1,0
2244,1,1,1,1,0,1,1,0,1,1,1,0,1,0
31307,1,1,1,1,1,0,1,1,1,0,1,1,1,1
387447,1,1,1,1,1,1,1,1,1,1,1,1,1,0
52920501,0,1,1,0,0,1,1,1,1,1,1,0,1,0
392622,0,0,1,1,0,0,1,1,1,0,0,0,0,0
12136798,1,1,1,1,1,1,0,1,1,0,1,0,1,0
2754,0,0,1,1,0,0,1,1,1,0,0,0,1,0
23679632,0,0,1,1,0,0,0,1,1,0,1,1,1,0
6112,0,1,1,1,0,0,1,1,1,1,1,1,0,0
2812,0,1,1,1,0,0,1,1,1,0,0,0,1,0
19090,0,1,1,1,0,0,0,1,1,0,0,0,1,1
4055,0,1,0,1,0,0,1,1,1,1,1,0,1,0
77995,1,1,1,1,0,1,1,1,1,1,1,0,0,0
6279,0,0,1,1,0,0,1,0,1,1,0,0,0,1
5282164,1,1,1,1,0,0,1,1,1,1,1,0,1,0
11672905,0,1,1,1,0,0,0,0,1,0,0,1,0,0
25145656,0,1,1,0,0,1,1,1,1,0,0,0,1,0
3578572,1,1,1,1,0,0,1,1,1,0,0,0,1,0
156391,1,1,1,1,0,1,1,1,1,1,0,0,0,1
72165228,1,1,1,1,0,0,1,1,1,0,0,0,1,1
