Feature,Coefficient,Odds_Ratio,HC_Std_Error,z_value,p_value,CI_Lower_95,CI_Upper_95,Significant,split_seed,X_features
const,-1.013787145504068,0.36284223790653564,0.06129156989068605,-16.540401025983908,1.8776818836532333e-61,-1.1339164150457322,-0.8936578759624036,True,432,E-dist
max_e_distance,0.0,1.0,0.10473557938849125,0.0,1.0,-0.20527796350137847,0.20527796350137847,False,432,E-dist
approval_rate,0.0,1.0,0.06408982281905011,0.0,1.0,-0.12561374450089152,0.12561374450089152,False,432,E-dist
const,-1.326265472950734,0.2654668053755506,0.06772575178953655,-19.58288299363904,2.1641802722081273e-85,-1.4590055072841246,-1.1935254386173433,True,43,E-dist
max_e_distance,-0.8354009450098836,0.4337005564942426,0.12152839666264699,-6.874121340783333,6.237310078399719e-12,-1.0735922255675694,-0.5972096644521978,True,43,E-dist
approval_rate,0.3771145994456478,1.4580713939706058,0.06930683471580742,5.441232469957771,5.2913210579186074e-08,0.24127569952019493,0.5129534993711007,True,43,E-dist
const,-0.9832310817188966,0.3741003950158178,0.062137267135908766,-15.823532753192055,2.1413285700413293e-56,-1.105017887403022,-0.8614442760347711,True,5235,E-dist
approval_rate,0.6644784661772544,1.9434766681642863,0.06662214842557289,9.973837258034065,1.984116982296628e-23,0.5339014546904497,0.795055477664059,True,5235,E-dist
max_e_distance,-0.15292946390843343,0.8581902530628214,0.1207765638141659,-1.2662180399811664,0.2054350305822502,-0.38964717916070213,0.08378825134383527,False,5235,E-dist
const,-1.0365340401381151,0.35468186715826494,0.06028665699941084,-17.193423747948817,2.9743724525559917e-66,-1.15469371660528,-0.9183743636709503,True,332,E-dist
max_e_distance,-0.6572514229865971,0.5182738943010444,0.11004670256356665,-5.972477209000849,2.336777993574761e-09,-0.8729389966285794,-0.44156384934461484,True,332,E-dist
approval_rate,0.5000354359046812,1.6487796956650873,0.06385409287628752,7.830906577491628,4.843644997178721e-15,0.3748837136016821,0.6251871582076804,True,332,E-dist
const,-0.8224181905632236,0.43936789354206485,0.05460795964675023,-15.060408700184178,2.949579536166945e-51,-0.9294478247400707,-0.7153885563863766,True,2132,E-dist
approval_rate,0.50284471962431,1.6534180978647148,0.05796473721901896,8.67501076946693,4.135113454016432e-18,0.38923592230170445,0.6164535169469155,True,2132,E-dist
max_e_distance,-0.19407296836060603,0.8235978054942833,0.0761129241436711,-2.549803079359729,0.01077837802669012,-0.34325155844023053,-0.04489437828098153,True,2132,E-dist
