drug_cellline	depmap_dependency_score
Flumatinib (mesylate)_CVCL_1118	0.0162088043722653
Flumatinib (mesylate)_CVCL_1666	0.0209819433771768
Flumatinib (mesylate)_CVCL_0525	0.0449562938467941
Flumatinib (mesylate)_CVCL_1245	0.1286180493025484
Flumatinib (mesylate)_CVCL_0555	0.0070349099089671
Flumatinib (mesylate)_CVCL_1239	0.0235607772993181
Flumatinib (mesylate)_CVCL_0359	0.0180633958498575
Flumatinib (mesylate)_CVCL_1638	0.0229035968904394
Flumatinib (mesylate)_CVCL_1729	0.0403265689044913
Flumatinib (mesylate)_CVCL_1603	0.0121638512157247
Flumatinib (mesylate)_CVCL_1715	0.0095387196117599
Flumatinib (mesylate)_CVCL_1392	0.015658721414139
Flumatinib (mesylate)_CVCL_3015	0.0148314622432357
Flumatinib (mesylate)_CVCL_0459	0.0344679091024227
Flumatinib (mesylate)_CVCL_1718	0.0840010714578314
Flumatinib (mesylate)_CVCL_0544	0.0332658117302656
Flumatinib (mesylate)_CVCL_0366	0.0048725578663476
Flumatinib (mesylate)_CVCL_1495	0.0065056488637403
Flumatinib (mesylate)_CVCL_1383	0.0490005374536635
Flumatinib (mesylate)_CVCL_0060	0.0330529194336238
Flumatinib (mesylate)_CVCL_0608	0.0345715685309553
Flumatinib (mesylate)_CVCL_1517	0.0054971169164888
Flumatinib (mesylate)_CVCL_0186	0.0666404965461828
Flumatinib (mesylate)_CVCL_0320	0.0099036172032417
Flumatinib (mesylate)_CVCL_0131	0.0010114265223172
Flumatinib (mesylate)_CVCL_1097	0.0155981243876729
Flumatinib (mesylate)_CVCL_0428	0.0327418841707239
Flumatinib (mesylate)_CVCL_0547	0.0585370271662488
Flumatinib (mesylate)_CVCL_1720	0.0323294416041421
Flumatinib (mesylate)_CVCL_0023	0.0056738096390705
Flumatinib (mesylate)_CVCL_1195	0.0202863679338233
Flumatinib (mesylate)_CVCL_1055	0.0670095774133593
Flumatinib (mesylate)_CVCL_1693	0.0308649957642814
Flumatinib (mesylate)_CVCL_0371	0.0853906525655743
Flumatinib (mesylate)_CVCL_0851	0.0271617662848766
Flumatinib (mesylate)_CVCL_1352	0.0831244898110634
Flumatinib (mesylate)_CVCL_0039	0.0089997163724989
Flumatinib (mesylate)_CVCL_1524	0.0276310024008733
Flumatinib (mesylate)_CVCL_1465	0.0210240977715646
Flumatinib (mesylate)_CVCL_1577	0.0103364344789485
Flumatinib (mesylate)_CVCL_1559	0.0669349928072176
Flumatinib (mesylate)_CVCL_1285	0.0098535270820089
Flumatinib (mesylate)_CVCL_0139	0.0219656762416101
Flumatinib (mesylate)_CVCL_3613	0.0043559056751376
Flumatinib (mesylate)_CVCL_1716	0.0087476900544046
Flumatinib (mesylate)_CVCL_1547	0.0087326147142935
Flumatinib (mesylate)_CVCL_1478	0.0001058839362711
Flumatinib (mesylate)_CVCL_0099	0.0288476758516663
Flumatinib (mesylate)_CVCL_0504	0.0114408703421481
Flumatinib (mesylate)_CVCL_0399	0.0288150060392838
Flumatinib (mesylate)_CVCL_0397	0.0320497578795517
Flumatinib (mesylate)_CVCL_1724	0.0211539787292249
Flumatinib (mesylate)_CVCL_0291	0.0256699242879095
Flumatinib (mesylate)_CVCL_1456	0.0189250425491002
Flumatinib (mesylate)_CVCL_1385	0.0352147270171491
Flumatinib (mesylate)_CVCL_0292	0.1140393122380979
Flumatinib (mesylate)_CVCL_0218	0.0940796403622695
Flumatinib (mesylate)_CVCL_0248	0.0495094077230769
Flumatinib (mesylate)_CVCL_1266	0.032680150822658
Flumatinib (mesylate)_CVCL_0069	0.0099964345839489
Flumatinib (mesylate)_CVCL_1094	0.0477996396994732
Flumatinib (mesylate)_CVCL_2610	0.0135041676173614
Flumatinib (mesylate)_CVCL_1282	0.0192435392807075
Captopril_CVCL_0031	0.2499314289014862
Captopril_CVCL_1639	0.0782965215122793
Captopril_CVCL_1125	0.0322410813489308
Captopril_CVCL_1119	0.1679010203080245
Captopril_CVCL_1635	0.0212786695830998
Captopril_CVCL_0332	0.0830649489719177
Captopril_CVCL_0480	0.1845454210721752
Captopril_CVCL_0334	0.0374962638591294
Captopril_CVCL_0152	0.0870481439497385
Captopril_CVCL_1987	0.0919452128423313
Captopril_CVCL_1183	0.1515848795780529
Captopril_CVCL_0950	0.1404927766379864
Captopril_CVCL_1329	0.1382609727711021
Captopril_CVCL_0078	0.0259530457872004
Captopril_CVCL_1531	0.1412578964457502
Captopril_CVCL_1118	0.1054770460305506
Captopril_CVCL_1666	0.1583499917328826
